0,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59
2016-03-15,2709.0,951.5,1270.880005,1317.5,900.0,49.939999,1507.0,3489.0,1211.0,1077.0,190.25,1464.0,379.299988,1046.0,1433.0,162.199997,139.360001,4128.0,486.75,816.0,6649.0,2.6021799999999997,9035.0,3439.0,1360.0,497.200012,365.799988,69.209999,48.880001,396.600006
2016-03-16,2707.0,987.5,1270.880005,1338.5,934.5,51.080002,1516.0,3532.0,1208.0,1050.0,190.649994,1461.0,383.600006,989.5,1434.0,163.5,139.639999,4117.0,486.0,835.0,6641.0,2.61121,9100.0,3466.0,1350.0,502.0,372.399994,68.790001,49.080002,400.0
2016-03-17,2716.0,1012.0,1274.0,1355.0,928.5,52.41,1485.0,3464.0,1208.0,1076.0,192.949997,1474.0,376.0,992.0,1430.0,170.899994,141.199997,4042.0,491.75,855.0,6671.0,2.55773,9005.0,3482.0,1336.0,506.0,375.200012,69.300003,50.0,399.200012
2016-03-18,2750.0,1045.0,1269.839966,1371.0,940.0,53.240002000000004,1514.0,3497.0,1206.0,1106.0,194.850006,1470.0,368.399994,1025.0,1454.0,170.800003,142.139999,3977.0,505.0,876.5,6600.0,2.57291,8865.0,3500.0,1354.0,497.10000599999995,375.5,69.900002,50.290001000000004,400.799988
2016-03-21,2725.0,1052.0,1274.0,1370.5,940.5,53.02,1501.0,3512.0,1202.0,1121.0,197.449997,1468.0,369.799988,1003.0,1442.0,170.600006,141.5,3976.0,501.5,872.5,6646.0,2.60695,9025.0,3491.0,1344.0,497.60000599999995,376.799988,69.790001,49.900002,402.299988
2016-03-22,2726.0,1055.0,1268.800049,1355.5,940.0,52.900002,1504.0,3456.0,1205.0,1112.0,201.649994,1458.0,377.0,975.0,1444.0,172.300003,142.139999,3983.0,505.5,878.5,6641.0,2.6465099999999997,9240.0,3546.0,1345.0,498.799988,380.200012,69.360001,48.299999,408.5
2016-03-23,2715.0,1064.0,1263.599976,1346.0,935.5,51.889998999999996,1515.0,3522.0,1220.0,1094.0,197.550003,1460.0,386.5,987.5,1459.0,175.199997,,4044.0,499.0,860.5,6706.0,2.64242,9245.0,3562.0,1367.0,506.0,375.5,68.900002,49.470001,414.600006
2016-03-24,2659.0,1038.0,1260.47998,1275.5,910.0,51.450001,1501.0,3517.0,1213.0,1066.0,189.800003,1460.0,389.899994,988.5,1432.0,172.100006,,3995.5,501.0,825.0,6695.0,2.545,9300.0,3530.0,1320.0,498.5,369.899994,68.050003,47.0,415.100006
2016-03-29,2650.0,1057.0,1263.599976,1294.0,922.0,52.049999,1525.0,3550.0,1229.0,1068.0,189.399994,1479.0,393.799988,994.5,1439.0,174.399994,,3995.5,495.0,850.5,6714.0,2.62252,9360.0,3553.0,1319.0,507.0,371.600006,68.0,47.970001,419.5
2016-03-30,2710.0,1033.0,1279.199951,1302.0,926.0,53.049999,1520.0,3692.0,1246.0,1087.0,193.75,1508.0,392.399994,1028.0,1505.0,177.699997,,4075.0,504.0,870.0,6771.0,2.6322799999999997,9570.0,3651.0,1370.0,512.0,373.0,67.800003,48.91,425.0
