Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,148.860001,149.899994,147.240005,149.160004,149.160004,39561654
2019-01-22,149.059998,150.460007,147.820007,148.160004,148.160004,52353102
2019-01-23,148.000000,150.740005,146.800003,149.259995,149.259995,63739088
2019-01-24,148.800003,148.899994,143.559998,144.039993,144.039993,111447921
2019-01-25,144.539993,146.000000,135.639999,137.000000,137.000000,174404871
2019-01-28,137.000000,139.360001,135.199997,135.440002,135.440002,107975053
2019-01-29,135.759995,137.520004,134.720001,135.080002,135.080002,145947056
2019-01-30,135.080002,137.580002,133.479996,136.699997,136.699997,100924617
2019-01-31,136.899994,141.139999,136.380005,138.580002,138.580002,131894675
2019-02-01,138.279999,139.419998,136.800003,138.839996,138.839996,82264755
2019-02-04,139.199997,139.759995,136.699997,138.100006,138.100006,70307886
2019-02-05,137.839996,141.539993,137.820007,141.059998,141.059998,70477970
2019-02-06,142.199997,143.619995,142.000000,142.399994,142.399994,81444610
2019-02-07,141.500000,141.759995,138.839996,139.380005,139.380005,77580548
2019-02-08,139.000000,139.460007,137.440002,138.679993,138.679993,45885866
2019-02-11,140.080002,141.419998,139.320007,141.100006,141.100006,66232357
2019-02-12,141.839996,142.259995,139.240005,139.639999,139.639999,54638162
2019-02-13,140.119995,140.139999,138.839996,139.360001,139.360001,56240930
2019-02-14,139.600006,140.300003,138.380005,139.639999,139.639999,55879838
2019-02-15,140.440002,142.240005,139.639999,141.199997,141.199997,70777516
2019-02-18,142.000000,143.240005,141.039993,142.139999,142.139999,44688569
2019-02-19,143.759995,143.759995,140.320007,141.500000,141.500000,54187552
2019-02-20,141.179993,142.240005,140.380005,142.139999,142.139999,17114863
